id,biolovision_english,biolovision_latin,ebird_species_code
496,White-winged Snowfinch,Montifringilla nivalis,whwsno1
497,Rock Sparrow,Petronia petronia,rocpet1
498,Hawfinch,Coccothraustes coccothraustes,hawfin
499,European Greenfinch,Carduelis chloris,eurgre1
500,European Goldfinch,Carduelis carduelis,eurgol
501,Eurasian Siskin,Carduelis spinus,eursis
502,Common Linnet,Carduelis cannabina,eurlin1
503,Twite,Carduelis flavirostris,twite1
504,Lesser Redpoll,Carduelis cabaret,lesred1
505,Common Redpoll,Carduelis flammea,comred
506,Arctic Redpoll,Carduelis hornemanni,
507,Citril Finch,Serinus citrinella,citfin1
508,European Serin,Serinus serinus,eurser1
509,Yellow-fronted Canary,Crithagra mozambica,yefcan
510,Domestic Canary,Serinus canaria f. domestica,canary1
511,Eurasian Bullfinch,Pyrrhula pyrrhula,eurbul
512,Common Rosefinch,Carpodacus erythrinus,comros
513,Pine Grosbeak,Pinicola enucleator,pingro
514,Long-tailed Rosefinch,Uragus sibiricus,lotros1
515,Red Crossbill,Loxia curvirostra,redcro
516,Parrot Crossbill,Loxia pytyopsittacus,parcro2
517,Two-barred Crossbill,Loxia leucoptera,whwcro
518,Common Chaffinch,Fringilla coelebs,comcha
519,Brambling,Fringilla montifringilla,brambl
520,Corn Bunting,Emberiza calandra,corbun1
521,Yellowhammer,Emberiza citrinella,yellow2
522,Pine Bunting,Emberiza leucocephalos,pinbun
523,Black-headed Bunting,Emberiza melanocephala,blhbun1
524,Red-headed Bunting,Emberiza bruniceps,rehbun1
525,Yellow-breasted Bunting,Emberiza aureola,yebbun
526,Cirl Bunting,Emberiza cirlus,cirbun1
527,Ortolan Bunting,Emberiza hortulana,ortbun1
528,Rock Bunting,Emberiza cia,rocbun1
529,Rustic Bunting,Emberiza rustica,rusbun
530,Little Bunting,Emberiza pusilla,litbun
531,Common Reed Bunting,Emberiza schoeniclus,reebun
532,Lapland Bunting,Calcarius lapponicus,laplon
