id,biolovision_english,biolovision_latin,ebird_species_code
52714,Ministrymon zilda,,
52715,Mithras colombiensis,,
52716,Mithras nautes,,
52717,Mithras orobia,,
52719,Mnaseas macia,,
52720,Papias allubita,,
52721,Mnasitheus chrysophrys,,
52723,Moeris strada,,
52724,Carystus moeros,,
52725,Psoralis calcarea calcarea,,
52726,Molo mango,,
52727,Monethe albertus,,
52728,Morpho achilles,,
52730,Morpho deidamia,,
52731,Morpho eugenia,,
52732,Morpho hecuba,,
52733,Morpho helenor,,
52734,Morpho marcus,,
52735,Morpho menelaus,,
52736,Morpho rhetenor,,
52737,Morpho telemachus,,
52738,Morvina falisca,,
52740,Morvina fissimacula rema,,
52741,Morvina morvus,,
52743,Lerema compta,,
52744,Lerema etelka,,
52746,Lerema subgrisea paradoxa,,
52747,Lerema ancus,,
52748,Moschoneura pinthous,,
52751,Gufa gulala,,
52755,Mycastor nealces,,
52756,Mylon ander,,
52757,Hoodus cristata,,
52758,Mylon maimon,,
52760,Myrinia binoculus,,
52761,Myrinia laddeyi,,
52762,Myrinia myris,,
52764,Mysoria sejanus stolli,,
52765,Myscelia milloi,,
52766,Agara assaricus assaricus,,
52767,Agara epimachia hermieri,,
52769,Mysoria barcastus barcastus,,
52770,Mysoria barcastus venezuelae,,
52775,Naevolus orius,,
52776,Cremna actoris,,
52777,Cremna actoris / heteroea,,
52778,Napaea beltiana,,
52780,Napaea eucharila eucharila,,
52781,Napaea frustatoria,,
52782,Napaea gynaecomorpha,,
52783,Cremna heteroea,,
52784,Ithomiola orpheus,,
52785,Napaea sylva,,
52786,Hyphylaria thasus,,
52787,Napeocles jucunda,,
52788,Napeogenes inachia,,
52789,Napeogenes rhezia,,
52790,Napeogenes sylphis,,
52791,Narcosius aulina,,
52793,Narcosius granadensis,,
52794,Narcosius hercules,,
52795,Narcosius mura,,
52796,Narcosius narcosius,,
52797,Narcosius nazareus,,
52798,Narcosius parisi,,
52799,Narcosius samson,,
52800,Narcosius steinhauseri,,
52801,Narope cyllabarus,,
52803,Nascus broteas,,
52804,Nascus phintias,,
52805,Nascus phocus,,
52806,Nascus prax,,
52807,Nascus lux,,
52808,Nastra ethologus,,
52809,Nastra guianae,,
52811,Nastra leuconoides,,
52821,Niconiades peri,,
52822,Rhinthon braesia,,
52823,Neoxeniades cincia,,
52824,Neoxeniades myra,,
52826,Neoxeniades scipio fulguratoides,,
52828,Daron seron sexton,,
52830,Neruda aoede,,
52831,Nerula fibrena,,
52832,Nerula tuba,,
52839,Nessaea batesii magniplaga,,
52840,Nessaea obrina,,
52842,Nicephellus nicephorus,,
52843,Nicolaea besidia,,
52844,Nicolaea ceglusa,,
52845,Nicolaea lemuria,,
52846,Nicolaea munditia,,
52847,Nicolaea opalia,,
52848,Nicolaea ophia,,
52849,Nicolaea pyxis,,
52850,Nicolaea salki,,
52851,Nicolaea velina,,
52852,Niconiades linga,,
52853,Niconiades nikko,,
52854,Neoxeniades parna,,
52855,Niconiades xanthaphes,,
52856,Niconiades yoka,,
52857,Nisoniades bessus,,
52858,Nisoniades ephora,,
52859,Nisoniades guianae,,
52860,Nisoniades laurentina,,
52861,Nisoniades macarius,,
52862,Nisoniades mimas,,
52863,Nisoniades montana,,
52864,Nisoniades nyctineme,,
52865,Nisoniades rubescens,,
52866,Nisoniades sp.,,
52867,Notheme erota,,
52869,Nyctelius nyctelius,,
52870,Nymphidium acherois,,
52871,Nymphidium aurum,,
52873,Nymphidium azanoides amazonensis,,
52874,Nymphidium baeotia,,
52875,Nymphidium cachrus,,
52876,Nymphidium cachrus / menalcus,,
52877,Nymphidium callaghani,,
52878,Nymphidium caricae,,
52879,Nymphidium colleti,,
52880,Nymphidium derufata,,
52881,Nymphidium fulminans,,
52882,Nymphidium guyanensis,,
52883,Nymphidium hermieri,,
52884,Nymphidium latibrunis,,
52885,Nymphidium lisimon,,
52886,Nymphidium manicorensis,,
52888,Nymphidium mantus,,
52889,Nymphidium menalcus,,
52890,Nymphidium minuta,,
52891,Nymphidium olinda,,
52892,Nymphidium omois,,
52893,Ocaria ocrisia,,
52894,Ocaria thales,,
52900,Oenomaus ambiguus,,
52901,Oenomaus atena,,
52902,Oenomaus atesa,,
52903,Oenomaus brulei,,
52904,Oenomaus curiosa,,
52905,Oenomaus cyanovenata,,
52906,Oenomaus gaia,,
52907,Oenomaus isabellae,,
52908,Oenomaus jauffreti,,
52909,Oenomaus melleus,,
52911,Oenomaus ortygnus,,
52912,Oenomaus poirieri,,
52913,Oenomaus taua,,
52928,Aurina azines,,
52929,Oileides fenestratus,,
52931,Oileides vulpinus guyanensis,,
52932,Oleria aegle,,
52934,Oleria astrea chloris,,
52935,Oleria flora,,
52937,Oleria ilerdina hermieri,,
52939,Oleria antaxis saulensis,,
52940,Olynthus avoca,,
52941,Olynthus essus,,
52942,Olynthus fulvoventris,,
52943,Olynthus lorea,,
52944,Olynthus narbal,,
52945,Olynthus negrus,,
52946,Olynthus nitor,,
52947,Olynthus ophelia,,
52948,Olynthus punctum,,
52949,Gindanes kelso,,
52950,Onophas columbaria,,
52951,Opsiphanes cassiae,,
52953,Opsiphanes cassina merianae,,
52955,Opsiphanes invirae sieberti,,
52956,Opsiphanes quiteria,,
52957,Opsiphanes sp.,,
52969,Orphe gerasa,,
52970,Orphe vatinius,,
52971,Orses cynisca,,
52973,Testia potesta,,
52974,Ortilia liriope,,
52975,Ostrinotes empusa,,
52976,Ostrinotes purpuriticus,,
52977,Ostrinotes silva,,
52978,Ostrinotes tarena,,
52979,Ostrinotes tympania,,
52981,Quadrus dilla baru,,
52982,Ouleus fatinitza,,
52983,Quadrus fridericus,,
52985,Quadrus juxta dampa,,
52986,Ourocnemis archytas,,
52987,Oxynthes corusca,,
52988,Paches exosa,,
52990,Sophista duidae duidae,,
52992,Sophista lineatopunctata belema,,
52993,Viuria lista,,
52994,Pachythone conspersa,,
52995,Pachythone crepusculi,,
52996,Pachythone lateritia,,
52999,Pachythone thaumaria,,
53000,Paiwarria telemus,,
53001,Paiwarria venulius,,
53002,Panacea procilla bleuzeni,,
53003,Panara phereclus,,
53004,Pterographium semiota,,
53005,Pterographium thyatira,,
53006,Pandemos pasiphae,,
53007,Panoquina bola,,
53008,Panoquina evadnes,,
53009,Panoquina fusina,,
53010,Panoquina hecebolus,,
53011,Panoquina ocola,,
53013,Panoquina eugeon minima,,
53014,Panoquina trix,,
53015,Panthiades aeolus,,
53016,Panthiades bathildis,,
53017,Panthiades bitias,,
53018,Panthiades boreas,,
53019,Panthiades phaleros,,
53022,Rectava ignarus,,
53023,Papias microsema,,
53025,Papias subcostulata,,
53032,Paracarystus hypargyra,,
53034,Paracarystus menestries rona,,
53038,Paramimus scurra,,
53039,Parcella amarynthina,,
53040,Parelbella ahira,,
53041,Pareuptychia binocula,,
53042,Pareuptychia hervei,,
53045,Pareuptychia hesionides deviae,,
53046,Pareuptychia lydia,,
53047,Pareuptychia ocirrhoe,,
53048,Pareuptychia sp.,,
53050,Parides aeneas didas,,
53051,Parides aeneas lucasi,,
53053,Parides anchises anchises,,
53054,Parides anchises bukuti,,
53056,Parides chabrias ygdrasilla,,
53058,Parides echemon ergeteles,,
53059,Parides echemon pisander,,
53061,Parides erithalion inini,,
53062,Parides lysander,,
53063,Parides neophilus,,
53065,Parides panthonus phylarchus,,
53066,Parides panthonus panthonus,,
53067,Parides phosphorus,,
53068,Parides sesostris,,
53069,Parides sp.,,
53070,Parides vercingetorix,,
53071,Parides vertumnus,,
53074,Parphorus decora,,
53075,Parphorus storax,,
53076,Parrhasius orgia,,
53077,Parrhasius polibetes,,
53078,Emeryus argulus argulus,,
53079,Hermeuptychia undulata,,
53081,Passova glacia,,
53082,Passova passova,,
53084,Patia orise,,
53085,Pellicia costimacula,,
53086,Pellicia dimidiata,,
53089,Tricrista advena advena,,
53090,Vistigma bryanti,,
53091,Tricrista crista,,
53093,Peria lamis,,
53094,Perichares adela,,
53095,Perichares butus,,
53096,Perichares lotus,,
53097,Periplacis splendida,,
53099,Mesosemia tullius,,
53100,Perrhybris pamela,,
53103,Phaenochitonia cingulus,,
53104,Phaenochitonia clarissa,,
53106,Phanes aletes,,
53107,Phanes almoda,,
53108,Phanes rezia,,
53109,Phanus ecitonorum,,
53110,Phanus marshalli,,
53112,Phanus obscurior prestoni,,
53113,Phanus sp.,,
53114,Phanus vitreus,,
53115,Phareas coeleste,,
53117,Pheles atricolor malmanoury,,
53118,Pheles heliconides,,
53119,Phemiades milvius,,
53120,Philaethria andrei,,
53121,Philaethria sp.,,
53122,Philaethria dido,,
53130,Phlebodes campo,,
53131,Phlebodes sifax,,
53132,Phlebodes meesi,,
53133,Phlebodes pertinax,,
53135,Phocides lincea lincea,,
53136,Phocides metrodorus,,
53137,Phocides padrona,,
53139,Phocides pigmalion hewitsonius,,
53141,Phocides polybius,,
53143,Phocides thermus valgus,,
53144,Phocides vulcanides,,
53145,Phoebis argante,,
53148,Phoebis neocypris vocator,,
53149,Phoebis philea,,
53151,Phoebis marcellina,,
53152,Phoebis sp.,,
53153,Pierella astyoche,,
53154,Pierella hyalinus,,
53155,Pierella lamia,,
53156,Pierella lena,,
53157,Pirascca arbuscula,,
53158,Pirascca crocostigma,,
53159,Pirascca histrica,,
53160,Pterographium interrupta,,
53161,Pirascca mimica,,
53162,Pirascca sagaris,,
53163,Pirascca sticheli,,
53165,Pirascca tyriotes,,
53167,Plumbago plumbago,,
53168,Plumbago pulverera,,
53171,Polyctor fera,,
53172,Polyctor polyctor,,
53173,Polygonus leo,,
53174,Polygonus savigny,,
53176,Memphis xenocrates punctimarginale,,
53177,Ectomis auginus,,
53178,Ectomis caunus,,
53179,Ectomis ceculus,,
53180,Ectomis eudoxus,,
53181,Ectomis metallescens,,
53182,Ectomis minvanes,,
53183,Ectomis octomaculata,,
53184,Ectomis roma,,
53185,Pompeius amblyspila,,
53186,Pompeius pompeius,,
53187,Porphyrogenes despecta,,
53188,Porphyrogenes ferruginea,,
53189,Porphyrogenes omphale,,
53190,Porphyrogenes probus,,
53191,Porphyrogenes sororcula,,
53192,Porphyrogenes spadix,,
53193,Porphyrogenes simulator,,
53194,Porphyrogenes stresa,,
53195,Porphyrogenes vulpecula,,
53196,Porthecla forasteira,,
53197,Porthecla minyia,,
53198,Porthecla ravus,,
53199,Posttaygetis penelea,,
53200,Potamanaxas effusa,,
53204,Prepona dexamenus dexamenus,,
53205,Prepona eugenes,,
53206,Prepona laertes,,
53210,Prepona sp.,,
53212,Propapias sipariana,,
53213,Metrocles phineus,,
53214,Propertius propertius,,
53218,Proteides mercurius,,
53220,Protelbella alburna brasiliensis,,
53221,Eurytides aguiari,,
53223,Eurytides glaucolaus leucas,,
53224,Eurytides leucosilaus,,
53226,Eurytides molops hetaerius,,
53227,Eurytides protesilaus protesilaus,,
53228,Eurytides sp.,,
53229,Eurytides telesilaus telesilaus,,
53231,Eurytides agesilaus autosilaus,,
53234,Pseudodebis marpessa,,
53235,Pseudodebis valentina,,
53238,Pseudodrephalys hypargus,,
53239,Pseudodrephalys sohni,,
53240,Pseudolivendula tenuis,,
53241,Pseudolycaena marsyas,,
53242,Nascus paulliniae,,
53243,Pseudoscada florula,,
53245,Episcada clausina clausina,,
53246,Pyrginae sp.,,
53248,Pyrisitia leuce saulbatado,,
53249,Pyrisitia venusta,,
53251,Pyrrhogyra amphiro agilis,,
53252,Pyrrhogyra crameri,,
53254,Pyrrhogyra edocla perscita,,
53255,Pyrrhogyra neaerea,,
53257,Pyrrhogyra otolais placita,,
53258,Pyrrhogyra sp.,,
53260,Pyrrhogyra stratonicus matthias,,
53261,Pyrrhopyge amyclas,,
53263,Pyrrhopyge josephina polka,,
53264,Pyrrhopyge arinas,,
53266,Pyrrhopyge attis lexos,,
53267,Pyrrhopyge creusae,,
53268,Pyrrhopyge evansi,,
53270,Pyrrhopyge phidias bixae,,
53271,Pyrrhopyge proculus,,
53272,Pyrrhopyge draudti cintra,,
53274,Pyrrhopyge sergius semana,,
53276,Pyrrhopyge thericles pseudophidias,,
53277,Pyrrhopygini sp.,,
53279,Pyrrhopygopsis socrates orasus,,
53280,Pythonides eminus,,
53281,Livida assecla,,
53283,Pythonides herennius,,
53286,Pythonides jovianus jovianus,,
53287,Pythonides lerina,,
53288,Lirra limaea,,
53289,Quadrus cerialis,,
53290,Quadrus contubernalis,,
53291,Quadrus deyrollei,,
53292,Quadrus fanda,,
53293,Quadrus sp.,,
53294,Quasimellana angra,,
53295,Quasimellana pandora,,
53296,Cynea cannae,,
53299,Rekoa marius,,
53300,Rekoa meton,,
53301,Rekoa palegon,,
53302,Rekoa stagira,,
53303,Mnasicles remus,,
53304,Phoebis trite trite,,
53305,Rhetus arcius,,
53306,Rhetus periander,,
53307,Ridens panche,,
53308,Riodina lysippus,,
53309,Riodinidae sp.,,
53310,Rodinia calphurnia,,
53312,Rodinia justinia,,
53313,Pachythone flocculus,,
53314,Pachythone floccus,,
53315,Rubroserrata ecbatana,,
53320,Sais rosalia,,
53321,Fulvatis fulvius,,
53322,Salatis salatis,,
53323,Calpodes antoninus,,
53324,Calpodes chiomara,,
53325,Calpodes esperi esperi,,
53326,Calpodes fischer,,
53327,Calpodes fusta,,
53328,Calpodes hewitsoni,,
53329,Calpodes longirostris,,
53330,Calpodes mathiolus,,
53331,Calpodes morsa,,
53332,Calpodes nigel,,
53334,Saliana saladin culta,,
53335,Calpodes salona,,
53336,Calpodes severus,,
53337,Calpodes sp.,,
53338,Calpodes triangularis,,
53340,Salantoia eriopis,,
53341,Sarota acanthoides,,
53342,Sarota acantus,,
53343,Sarota chrysus,,
53345,Sarota karishmae,,
53346,Sarota lasciva,,
53347,Sarota miranda,,
53348,Sarota psaros,,
53352,Saturnus meton,,
53353,Saturnus tiberius tiberius,,
53354,Saturnus saturnus,,
53355,Satyrinae sp.,,
53357,Scada reckia philemon,,
53358,Selenophanes cassiope,,
53360,Semomesia capanea,,
53361,Semomesia capanea / cecilae / croesus,,
53362,Semomesia cecilae,,
53363,Semomesia croesus,,
53364,Semomesia nesti,,
53365,Semomesia tenella,,
53367,Semonina ares,,
53368,Setabis epitus,,
53369,Setabis lagus,,
53370,Setabis myrtis,,
53371,Siderone galanthis,,
53372,Siderus athymbra,,
53373,Siderus guapila,,
53374,Siderus leucophaeus,,
53375,Siderus nouraguensis,,
53376,Siderus philinna,,
53380,Siproeta epaphus gadoui,,
53382,Siproeta stelenes meridionalis,,
53383,Smyrna blomfildia,,
53384,Sodalia sodalis,,
53385,Sophista aristoteles,,
53386,Sostrata bifasciata,,
53387,Festivia festiva,,
53388,Sostrata pusilla,,
53389,Spathilepia clonius,,
53390,Ectomis speculum,,
53391,Spioniades artemides,,
53392,Spioniades libethra,,
53393,Argentaria clorimena,,
53394,Nhambikuara furina,,
53395,Argentaria itonis,,
53396,Argentaria jadea,,
53397,Nhambikuara junonia,,
53398,Splendeuptychia nortia,,
53399,Splendeuptychia purusana,,
53400,Stalachtis calliope,,
53401,Stalachtis eugenia,,
53403,Stalachtis euterpe,,
53404,Stalachtis phaedusa,,
53406,Stalachtis phlegia,,
53407,Incisus incisus,,
53408,Strephonota acameda,,
53409,Strephonota adela,,
53410,Strephonota ambrax,,
53411,Strephonota bicolorata,,
53412,Strephonota carteia,,
53413,Strephonota cyllarissus,,
53414,Strephonota falsistrephon,,
53415,Strephonota jyg,,
53416,Strephonota malvania,,
53417,Strephonota parvipuncta,,
53418,Strephonota porphyritis,,
53419,Strephonota sphinx,,
53420,Strephonota strephon,,
53421,Strephonota syedra,,
53422,Strephonota tephraeus,,
53423,Strephonota tyriam,,
53424,Strymon bazochii,,
53425,Strymon bubastus,,
53426,Strymon megarus,,
53427,Strymon sabinus,,
53428,Strymon serapio,,
53429,Strymon sylea,,
53430,Strymon yojoa,,
53431,Strymon ziba,,
53432,Gracilata quadrinotata,,
53436,Symbiopsis nivepunctata,,
53437,Symbiopsis pupilla,,
53438,Symbiopsis rickmani,,
53439,Symmachia accusatrix,,
53440,Symmachia basilissa,,
53442,Symmachia calligrapha,,
53443,Symmachia calliste,,
53444,Symmachia emeralda,,
53445,Symmachia estellina,,
53447,Symmachia meyi,,
53448,Symmachia hippea,,
53449,Symmachia juratrix,,
53450,Symmachia leena,,
53452,Symmachia leopardinum,,
53453,Symmachia miron,,
53455,Symmachia multesima,,
53456,Symmachia norina,,
53457,Asymma pardalis,,
53458,Symmachia poirieri,,
53459,Symmachia probetor,,
53460,Symmachia rosanti,,
53461,Symmachia sp.,,
53462,Symmachia stigmosissima,,
53464,Symmachia technema,,
53465,Symmachia threissa,,
53467,Symmachia tigrina,,
53468,Mesenopsis tricolor,,
53469,Symmachia virgatula,,
53471,Synapte silius,,
53472,Synargis abaris,,
53473,Synargis agle,,
53474,Synargis agle menalcidas,,
53475,Synargis calyce,,
53476,Synargis chaonia,,
53477,Synargis fenestrella,,
53478,Synargis galena,,
53479,Synargis gela,,
53480,Synargis arche,,
53481,Synargis phliasus,,
53482,Synargis pittheus,,
53483,Synargis regulus,,
53484,Synargis soranus,,
53485,Synargis tytia,,
53487,Syrmatia nyx,,
53490,Talides sergestus,,
53491,Talides sinois,,
53498,Tarsoctenus corytus,,
53499,Tarsoctenus papias,,
53501,Tarsoctenus praecia rufibasis,,
53502,Taygetis larua,,
53503,Taygetis sosis,,
53504,Taygetis gr. xenana,,
53506,Taygetis echo,,
53507,Taygetis kharisma,,
53508,Taygetis laches,,
53509,Taygetis laches / thamyra,,
53510,Taygetis mermeria,,
53511,Taygetis oyapock,,
53513,Taygetis rufomarginata tapulunmi,,
53514,Taygetis sp.,,
53515,Taygetis sylvia,,
53516,Taygetis thamyra,,
53517,Taygetis virgilia,,
53519,Taygetis zippora,,
53520,Pseudodebis celia,,
53521,Tegosa anieta,,
53522,Tegosa fragilis,,
53523,Telemiades amphion,,
53524,Telemiades antiope,,
53526,Telemiades corbulo,,
53527,Telemiades epicalus,,
53528,Telemiades laogonus,,
53530,Telemiades litanicus,,
53531,Telemiades meris,,
53532,Telemiades moa,,
53533,Telemiades penidas,,
53534,Telemiades megallus,,
53545,Tellona variegata,,
53546,Temecla tema,,
53547,Temenis laothoe,,
53549,Callicorina pulchra donatica,,
53550,Terenthina terentia,,
53551,Thargella caura,,
53558,Theclopsis gargara,,
53559,Theclopsis lydus,,
53560,Theclopsis mycon,,
53561,Themone pais,,
53563,Themone poecila,,
53564,Themone pulcherrima,,
53565,Theope amicitiae,,
53566,Theope archimedes,,
53568,Theope aureonitens,,
53570,Theope barea,,
53571,Theope batesi,,
53573,Theope brevignoni,,
53574,Theope campinensis,,
53575,Theope caroli,,
53576,Theope christophi,,
53578,Theope discus,,
53579,Theope ebara,,
53580,Theope ernestinae,,
53581,Theope eudocia,,
53582,Theope eurygonina,,
53583,Theope excelsa,,
53584,Theope fayneli,,
53586,Theope fernandezi,,
53587,Theope foliolum,,
53588,Theope foliorum,,
53589,Theope francisi,,
53590,Theope galionicus,,
53591,Theope guillaumei,,
53592,Theope janus,,
53593,Theope johannispetreus,,
53594,Theope lampropteryx,,
53595,Theope leucanthe,,
53596,Theope lycaenina,,
53597,Theope lychyi,,
53598,Theope martinae,,
53599,Theope minialba,,
53600,Theope mundula,,
53601,Theope nobilis,,
53602,Theope nycteis,,
53603,Theope orphana,,
53604,Theope palambala,,
53605,Theope pedias,,
53606,Theope phaeo,,
53607,Theope philotes,,
53608,Theope pieridoides,,
53609,Theope rochambellus,,
53610,Theope sericea,,
53611,Theope shaphir,,
53612,Theope sobrina,,
53613,Theope sp.,,
53614,Theope sticheli,,
53616,Theope syngenes,,
53617,Theope terambus,,
53618,Theope tetrastigmoides,,
53619,Theope thootes,,
53620,Theope virgilius,,
53621,Theope wallacei,,
53622,Theope zafaran,,
53623,Thepytus echelta,,
53624,Thepytus thyrea,,
53625,Thereus caltha,,
53626,Thereus cithonius,,
53627,Thereus enenia,,
53628,Thereus genena,,
53629,Thereus guianivaga,,
53630,Thereus ismarus,,
53631,Thereus lausus,,
53632,Thereus pedusa,,
53633,Thereus phalanthus,,
53634,Thereus praxis,,
53635,Denivia hemon,,
53636,Denivia lisus,,
53637,Theritas mavors,,
53638,Denivia phegeus,,
53639,Denivia silma,,
53640,Theritas sp.,,
53641,Denivia viresco,,
53642,Thespieus dalman,,
53643,Thestius lycabas,,
53644,Thestius pholeus,,
53645,Thestius selina,,
53646,Thestius sp.,,
53647,Thisbe hyalina,,
53648,Thisbe irenea,,
53649,Thisbe molela,,
53650,Tricrista canta,,
53651,Dubia dubia,,
53652,Lychnuchus ponka,,
53653,Tricrista taxes,,
53654,Thracides arcalaus,,
53655,Thracides cilissa,,
53657,Thracides cleanthes telmela,,
53658,Thracides nanea,,
53659,Thracides phidon,,
53660,Thracides thrasea,,
53661,Thyridia psidii,,
53662,Gufa fusca,,
53663,Tigridia acesta,,
53664,Zopyrion satyrus satyrus,,
53666,Tirynthoides lotana,,
53671,Tithorea harmonia harmonia,,
53672,Tmolus cydrara,,
53673,Tmolus echion,,
53674,Tmolus mutina,,
53675,Tmolus ufentina,,
53676,Tmolus venustus,,
53677,Iliana sapasoa,,
53704,Trichonis hyacinthus,,
53705,Trichonis immaculata,,
53706,Trina geometrina,,
53707,Turesis basta,,
53708,Turesis complanula,,
53709,Cogia crameri,,
53710,Cogia galbula,,
53712,Cogia stylites,,
53713,Cogia undulatus,,
53715,Udranomia kikkawai,,
53716,Udranomia orcinus,,
53717,Cecropterus albimargo,,
53718,Cecropterus takuta,,
53720,Cecropterus carmelita,,
53722,Telegonus chalco,,
53723,Spicauda cindra,,
53724,Cecropterus dorantes,,
53725,Urbanus doryssus,,
53726,Urbanus esma,,
53727,Urbanus esmeraldus,,
53728,Urbanus esta,,
53730,Spicauda procne,,
53731,Urbanus pronta,,
53732,Urbanus proteus,,
53733,Cecropterus reductus,,
53734,Spicauda simplicius,,
53735,Urbanus sp.,,
53736,Spicauda tanna,,
53737,Spicauda teleus,,
53738,Urbanus velinus,,
53739,Cecropterus virescens,,
53741,Vacerra litana,,
53746,Nastra celeus celeus,,
53747,Vehilius inca,,
53748,Gallio seriatus,,
53749,Vehilius stictomenes,,
53750,Vehilius vetula,,
53751,Venada advena,,
53752,Venas caerulans,,
53753,Venas evans,,
53755,Vertica verticalis grandipuncta,,
53756,Artonia artona,,
53757,Troyus fantasos,,
53758,Mielkeus klugi,,
53760,Vettius lafrenaye pica,,
53761,Mielkeus sp. 1,,
53762,Vettius monacha,,
53763,Vettius phyllus,,
53764,Vettius richardi,,
53765,Mielkeus tertianus,,
53766,Vettius triangularis,,
53767,Vila emilia,,
53769,Vinius exilis,,
53770,Vinius tryhana,,
53771,Viola violella,,
53772,Virga clenchi,,
53773,Virga virginius,,
53775,Polites otho clavus,,
53776,Polites premnas,,
53777,Caeruleuptychia umbrosa,,
53778,Xenandra helius,,
53779,Xeniades chalestra,,
53780,Xeniades orchamus,,
53781,Xenophanes tryxus,,
53783,Yanguna cometes cometes,,
53785,Guyanna tetricus,,
53786,Yanguna thelersa,,
53788,Stephenympha eriphule,,
53789,Yphthimoides renata,,
53792,Zaretis ellops mellita,,
53793,Zaretis falcis,,
53794,Zaretis isidora,,
53796,Zaretis itys,,
53797,Zaretis sp.,,
53798,Zelotaea alba,,
53799,Zelotaea phasma serena,,
53801,Zelotaea suffusca,,
53802,Zenis par,,
53804,Quadrus tetrastigma,,
53805,Ziegleria ceromia,,
53806,Ziegleria hesperitis,,
53807,Nhambikuara mima,,
53817,Hybrid Common Moorhen x Coot,Gallinula chloropus x Fulica atra,x00389
53818,Strymon tegaea,,
53820,Junonia genoveva genoveva,,
53823,Diphylla ecaudata,,
53824,Glossophaga commissarisi,,
53825,Scleronycteris ega,,
53826,Neonycteris pusilla,,
53827,Carollia benkeithi,,
53828,Rhinophylla fischerae,,
53829,Dermanura anderseni,,
53830,Platyrrhinus lineatus,,
53831,Vampyressa pusilla,,
53832,Vampyressa thyone,,
53833,Natalus espiritosantensis,,
53834,Eptesicus brasiliensis,,
53835,Myotis simus,,
53836,Myotis sp. ''littoral'',,
53837,Eumops delticus,,
53838,Eumops perotis,,
53839,Molossus currentium,,
53843,Argia palmata,,
53844,Gynacantha dryadula,,
53845,Micrathyria wasscheri,,
53846,Oligoclada sp. 2,,
53847,Polythoridae sp.,,
53848,Calopterygidae sp.,,
53849,Megapodagrionidae sp.,,
53850,Perilestidae sp.,,
53851,Platystictidae sp.,,
53852,Navicordulia sp.,,
53853,Navicordulia pascali,,
53854,Navicordulia tumucurakensis,,
53855,Subalpine / Moltoni's Warbler,Sylvia cantillans / subalpina,y00909
53856,Cynomops mastivus,,
53857,Cynomops milleri,,
53860,Cynomops milleri / mastivus,,
53907,Heraclides sp.,,
53908,Caeruleuptychia sp.,,
53909,Chloreuptychia sp.,,
53910,Dynamine sp.,,
53911,Euptychia sp.,,
53912,Hamadryas sp.,,
53913,Ithomiini sp.,,
53914,Magneuptychia sp.,,
53915,Mechanitis sp.,,
53916,Melinaea sp.,,
53918,Methona sp / Thyridia sp.,,
53919,Modestia modesta,,
53920,Modestia remypignoux,,
53921,Morpho achilles / helenor,,
53922,Morpho sp.,,
53923,Nessaea sp.,,
53924,Preponini sp.,,
53925,Splendeuptychia sp.,,
53926,Bia decaerulea,,
53927,Enantia sp.,,
53928,Arumecla netesca,,
53929,Bistonina erema,,
53930,Calycopis calus,,
53931,Calycopis gr. bellera,,
53932,Chalybs mitaraka,,
53933,Chalybs sp.,,
53934,Erora sp.,,
53935,Kolana sp.,,
53936,Lathecla mimula,,
53937,Ministrymon arthuri,,
53938,Nicolaea heraldica,,
53939,Nicolaea sp.,,
53940,Oenomaeus sp.,,
53941,Oenomaus forastera,,
53942,Olynthus sp.,,
53943,Ostrinotes halciones,,
53944,Ostrinotes sp.,,
53945,Paraspiculatus colombiensis,,
53946,Parrhassius polybetes / orgia,,
53947,Siderus sp.,,
53948,Strephonota palambala,,
53949,Strephonota sp.,,
53950,Strymon eremica,,
53951,Strymon gallardi,,
53952,Strymon lucena,,
53953,Strymon sp.,,
53954,Symbiopsis aprica,,
53955,Theclopsis sp.,,
53956,Thereus endera,,
53957,Thereus ortalus,,
53958,Thereus sp.,,
53959,Tmolus sp.,,
53961,Aethilla sp.,,
53962,Aguna sp.,,
53963,Aides sp.,,
53964,Anastrus sp.,,
53965,Anatrytone sp.,,
53966,Anthoptus sp.,,
53967,Apaustus sp.,,
53968,Mnaseas sp.,,
53969,Artines sp.,,
53970,Phocidini sp.,,
53971,Bungalotis sp.,,
53972,Callimormus / Vehilius sp.,,
53973,Callimormus sp.,,
53974,Carystoides sp.,,
53975,Carystus sp.,,
53976,Celaenorrhinus sp.,,
53977,Cephise sp.,,
53978,Clito sp.,,
53979,Cobalopsis sp.,,
53980,Corticea sp.,,
53981,Cycloglypha sp.,,
53982,Cymaenes sp.,,
53983,Cynea sp.,,
53984,Decinea sp.,,
53985,Drephalys / Pseudodrephalys sp.,,
53986,Drephalys sp.,,
53987,Dubiella sp.,,
53988,Dyscophellus sp.,,
53989,Pyrrhopyginae sp.,,
53990,Microceris sp.,,
53991,Lychnuchus sp.,,
53992,Epargyreus exadeus / socus,,
53993,Euphyes sp.,,
53994,Eutocus sp.,,
53995,Eutychide sp.,,
53996,Jemadia sp.,,
53997,Justinia sp.,,
53998,Lento sp.,,
53999,Lerema sp.,,
54000,Marela sp.,,
54001,Mnasinous sp.,,
54002,Metron sp.,,
54003,Milanion sp.,,
54004,Morvina sp.,,
54005,Morys sp.,,
54006,Mylon sp.,,
54007,Myrinia sp.,,
54008,Nascus sp.,,
54009,Nastra sp.,,
54010,Neoxeniades sp.,,
54011,Niconiades sp.,,
54012,Oileides sp.,,
54013,Orphe sp.,,
54014,Ouleus dilla / fatinitza,,
